Score,Genres,Name,Description,Image_url
7.48,"['歴史', 'ロボット', 'サムライ', 'SF']",サムライセブン,"In the far distant future, on a planet that might have been called ""earth"", there was a war between samurai who mechanized their bodies. After the long war, people enjoyed a modest peace. Facing starvation and abductions at the hands of fearsome mechanized bandits (Nobuseri), the farmers of Kanna Village make the dangerous choice to hire samurai for protection. The village's water priestess, Kirara, her younger sister, Komachi, and a heartbroken villager, Rikichi, set off to hire willing samurai with nothing to offer but rice from their meager harvests. Through dangerous encounters and a bit of luck, seven samurai of varying specialties and experience are gathered for an epic battle against the bandits and the merchants that influence them. Samurai 7 is based loosely upon Kurosawa Akira's famous movie ""Seven Samurai""/""Shichinin no Samurai""",https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG8mSVdw4FE81Uc_ym4frqws9yfekTp_mimpm09ly6ZrKdvWrLmRQ1y1wCGmVtIdr7psZZUBx4z9yfMaoH6M77k2bQ0Jo4eLZ_33rxEy6acFgeRwPv4PUc9DinxCnruJyJIwQUr2uPRjssvIKp0lzNh5caPRnczZZkhb6Ym94bf9_VgYWEfpGpML-rV4VGTkkjS-v_qv4_yJesJY1YGK-6K2tCy1gt8JYsWEX2clrigOxJmkuikj7Z0i28PWTLiZDw4kbMcrFRPM3W4R7jZKB04PKEd9QZ7lA0P1P_0yR86x8/10686_1_9_8b.png
7.38,"['アクション', 'SF', 'アドベンチャー', '超能力', 'ドラマ']",スクライド,"strange environmental phenomenon 22 years ago in the Kanazawa prefecture caused the land to split and protrude upwards reaching unprecedented heights, creating the secluded area known as The Lost Ground. Kazuma is a young mercenary who lives in the Lost Ground, looking for any work he can find to sustain his livelihood within the harsh environment. He is one of the few people that are gifted with the Alter ability, which allows him to plaster his right arm and torso with a metallic alloy. When this mercenary encounters HOLY, an order whose purpose is to suppress and capture what they call Native Alter Users, and one of the elite members of HOLY, Ryuho, an epic rivalry begins. (Source: ANN)",https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG8mSVdw4FE81Uc_ym4frqws9yfekTp_mimpm09ly6ZrKzFaDnd08R62aqVNyB7IS4LMPf9-bB_hEStn4ypfTfmG0Nwfwy2Sn0ZCvZNntHg6s3dUF4XuYX2W_K8A8SPb9-s8lBV97Sf9hWzkUrnw0QBahcC1KAZX6XJPpTppXY__GDP0A9T_qO2D4BVI35_LjsYZ1pl7m0763vfHhIivlUILi3S7Gx-0tPuHzt0LyByDhI55BpcJaax2Su2c36Ojho0dEnOzgjLTyzGZtnIaR2vmfGHkWoMmLb9NYAXJ258wn/11283_1_1.png
6.35,"['アドベンチャー', 'ドラマ', 'ファンタジー']",ストレンジ・ドーン,"Yuko and Eri are two normal girls who are sucked into the alternate world filled with tiny people. The people of this mysterious world sees them as their ""Great Protectors"" who can protect their land in a time of strife. The two girls set out on a mission with a group of warriors from the village to find out how they were brought here and how might they return home. However, there is a war brewing and these two Great Protectors are the political tool that every faction lusts for to rally the people to their side. (Source: ANN)",https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG8mSVdw4FE81Uc_ym4frqws9yfekTp_mimpm09ly6ZrK95h7VRYJ2K7-QpXeEo_boEEY4LspRuFkOFoj5TTjvU5g4sZnuX0PFf8uSt1UCJVLOcql0F8Zxg68pscxgO0q-8Eyg9gb4dQ1FkXXHwIPMazL4iPwKtiRCmnmkHb-WF5ogf9Bhl5x1NXYHJRHgdZJznyxm_lgLLeR89c4ZpVBhN2AKKxLKrzfqU-jeEKgG6G3vUQ5Ue0VqYh0bfUEjGM2uzpgbdpb8tY7cAZJj3fkGKhqEwxAewj0OxPZ3k1ZPXjp/23270_1_d2.jpg
6.88,"['コメディ', 'ドラマ', 'ハーレム', '学園', 'SF']",おねがい☆ツインズ,"aiku Kamishiro's past has always been somewhat of a mystery to him. The only clue he has to who his family might be is an old photograph showing two young children, a boy and a girl, playing in a small pool outside of a blue house. In an attempt to find his family, he moves to this blue house and begins working as a programmer. He's living a comfortable life until the day two very different girls show up at his door, both in possession of the same photograph, and both claiming to be his twin. With no way to prove who is a relative and who is a stranger, Maiku allows both girls to move in with him until they know for sure. (Source: ANN)",https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG2E-Sg2-7FDTZANwvnBP0L8fCu8JH5BxSVL3lAhv-slsCvPKmsBl1Zynqv18jVg_pzl1MA6xeaQmhbxc8f9x3BIggfheT3VZvQQXUlSp7XonFW8qCg9JccEDAkW7qgTayoAgOERmond4rce8jpRphSmrlg_CZut-1eRwx49pFTf5cRWXdefIgvqfM8ZiEYmBv7OKwKXyzm33DCy59zIKovXMZH44I7T39Vm5kzdCjaokVu2fLWYJupC7PnlL_yi4cw==/51V6HNTXhkL._AC_SY445_.jpg
7.56,"['アクション', 'ホラー', '心理戦', '超能力', 'ドラマ', 'ロマンス', '青年']",エルフェンリート,"ucy is a special breed of human referred to as ""Diclonius,"" born with a short pair of horns and invisible telekinetic hands that lands her as a victim of inhumane scientific experimentation by the government. However, once circumstances present her an opportunity to escape, Lucy, corrupted by the confinement and torture, unleashes a torrent of bloodshed as she escapes her captors. During her breakout, she receives a crippling head injury that leaves her with a split personality: someone with the mentality of a harmless child possessing limited speech capacity. In this state of instability, she stumbles upon two college students, Kouta and his cousin Yuka, who unknowingly take an injured fugitive into their care, unaware of her murderous tendencies. This act of kindness will change their lives, as they soon find themselves dragged into the shadowy world of government secrecy and conspiracy.",https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG8mSVdw4FE81Uc_ym4frqws9yfekTp_mimpm09ly6ZrKtOYl9BmwoUA8PWSXadMNRJtubFJM-tNtd-eheOVXtZ2jtA2fbImMwQBTPQNmgBNJLXwuNouqodrxIZABcR4OlcEyg9gb4dQ1FkXXHwIPMazL4iPwKtiRCmnmkHb-WF5ogf9Bhl5x1NXYHJRHgdZJznyxm_lgLLeR89c4ZpVBhN2AOUtfELoLqKKC9HgN-lR_wx0PgUnELhaoHe6xvtLPfn1WzaFAV_httQf9yMcJgqmhc57PQoVCjTa314Qi27O_/21868_1_d2.jpg
6.92,"['コメディ', 'パロディ', '格闘']",ニニンがシノブ伝,"Kaede is a normal school girl who was studying for her exams for school when suddenly she is interrupted by Shinobu, a girl who is a ninja-in-training, attempting to complete her exam. The problem is, in order for her to successfully complete her exam, she must steal one of Kaede's panties! In Kaede's attempt to stop Shinobu from stealing her panties, an unexpected friendship is forged between the two. Kaede soon becomes engrossed in Shinobu's world, surrounded by partying ninjas and a yellow pac-man like thing by the name of Onsokumaru, who claims to be the master of all ninjas!",https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG8mSVdw4FE81Uc_ym4frqws9yfekTp_mimpm09ly6ZrKsDHYOncAdZzNtFePafyZNBuyQ3w4ra_ZHGlNhcit44Ln37EF1LNtAda9xL0VOchwleyoIgvmmqjVHCCMbMRFSYwQUr2uPRjssvIKp0lzNh5caPRnczZZkhb6Ym94bf9_VgYWEfpGpML-rV4VGTkkjS-v_qv4_yJesJY1YGK-6K1A1EvqDpPMPHJp7sT3oCy3KdudRoWocexVY6PQ8CQHATIvFOpHKOFyssQMsOTukfweAo820wEdrhgmKQqLb9qJ/24471_1_9_8b.png
6.18,"['アクション', 'コメディ', '超能力', 'ファンタジー', '青年']",朝霧の巫女,"Since childhood, Tadahiro Amatsu has two different-colored eyes - one brown and one light hazel. But because of a dark secret behind his left eye, he's become a target for the masked sorcerer Ayatara Miramune and his band of demons. To combat the demons appearing all over town, Yuzu Hieda, a priestess in training, recruits four other girls from her high school. Under the supervision of Yuzu's elder sister Kurako, the five young priestesses must undergo months of training to master their abilities. (Source: ANN)",https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG1iuN405qGXktkvHAy_CIMF46GgrD32i5C-1DJGLnO-tE73oNljKU3z4PXC9I1OGpdzL-HXD2bJp55k1g-7ldzMmiEGfG79CrG8GzwYS8I1msvE0pEcAmWdaUcCMO45SnqPCyhegI00RTxCVaIG3YQ7-JsblGWJpaoPN5QlLwcxrd2U4cUFUkl97nzUO160yuj_QUXRm-jGOLxdB2E2XpqqB_Tpu9oEHHebJkOjZb7_hfHPSQm-eGHyWVpGC_8_TJqaJ8ziFhVz0XrwtW3JYjA4_cQZ7KxzQ-fa92teoW7hl/Asagirinimiko_mainRGB.jpg
7.36,"['アクション', 'アドベンチャー', '格闘', '少年', '超能力']",烈火の炎,"ost people think that ninjas are a thing of the past, but Rekka Hanabishi wishes otherwise. Although he comes from a family that makes fireworks, he likes to think of himself as a self-styled, modern-day ninja. Sounds like fun, right? Maybe not. Rekka ends up in lots of fights because he once made the bold announcement that if someone can defeat him, he will become their servant. Then one day, Rekka meets Yanagi Sakoshita, a gentle girl with the ability to heal any wound or injury. Their meeting sets off a chain of events, which culminate into a shocking discovery. Rekka is the last surviving member of a legendary ninja clan that was wiped out centuries ago. Even more astonishing than being an actual ninja, he also wields the power to control fire. What does this mean for Rekka? Who are these strange people after him and Yanagi? Find out in Rekka no Honoo !",https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG2UiSatVCCtcIPJBr3Fd1KNzEan4Ip2r58Y9Nu6yedvtxKMURukkaz0FYmscFFxnhOmlMGFUTMb_1hUwYRbB89dfpWQtc-y889KOxbj01Oxy3hMJerfbEJ8Ze7J2BssBthJSZit7EMMtniJlcbVCbBOgeiVwbgamIi3eAyqNyRNnsxPrAQFJsqCCnHtek-C0I31FzbmDYcoUrevXOf19yawduzYqW280HvEKbBcEafwC9zPCNHYpuEdHYc5MfGeWvcPXuC19JMnA4o8kIA_rQh6IC6VqkNFhSILLe4F32f_09m8hb9IZGDwUKaMR1maB3027TdbJlyllOWKA0Bmgs7iUdsRvuILR90wsktxkuBS4o8LKF6AjTRFPEJVogbdhDv4mxuUZYmlqg83lCUvBzGt3ZThxQVSSX3ufNQ7XrTK6P9BRdGb6MY4vF0HYTZemqgPz2WAqTJQ2Ny2dtZ0jjhH-LD3kT0gTrB5uJh_A4NGwX6gCSeilRhs8yshzb_TIx4aGOburPaZ3pyM-ks6aElY=/uUzvQ3lML_bkIqyakc1vFs5m5vWpmdnzwFmHSWX0ZqpavD46mtwj6zjjULrALg-9ckbs4n9Q_vkpC63ptYQDNayEVJ4JaK_4k98LUIUHf29QeswoIilQAG5Q52I7kdiG58RlwhRqZjL4aYIPOmb5sZCrq5K7RqgzBc-XBVklqBd2eR11cJAQfytMY_Ram7BgA5fh3BXTwFs2Ai0K2eZzCGg_pZGcnCzzwwNSm9I8f1w
6.45,"['ハーレム', 'コメディ', 'ロマンス', 'エッチ', 'ファンタジー', '学園', '少年']",GIRLSブラボー first season,"Small for his age, Yukinari has been bullied and abused by girls all his life. Now in high school, he has developed a rare condition: whenever girls touch him, or even come close, he breaks out in hives. Imagine his surprise, when he is suddenly transported to the city of Seiren on a mystic world invisibly orbiting the Earth, and populated with vast numbers of women and very few men. Fortunately, he has a new friend, Miharu-chan, whose touch inexplicably doesn't affect him. (Source: ANN)",https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG2E-Sg2-7FDTZANwvnBP0L8fCu8JH5BxSVL3lAhv-slsYasaQOvUZ9I-RJhhPS5GJFpeaynNMJgY8QF7NEswLZZdQVe1LBLxW3Km-DPfrTVRSsOnvz7vr9byhogDmMIfM3TvK_nyqpEvD9DlpySfTJbDLlXPbK8T2-nhi9_SKe_nnAz2KzlfVC_6B4YcU1EkgGSWQQhcHhX8Yp8k7ukYDWDxekkVSLCfzW8WIi7__njJ_ozt4jeMC7ch2A8SmqoAYk4rq0a0jGXsPcQJ4hSmoJ97N3WshyBIZ2Uro-X7bGbbZb5_uqJZN1Txl9KJwUAYxLpS1otO1k99H22yjX7owN0Ucimi-irlLH2jVKq4pdKToZL_irJl-qEEdN7PF6KPWA==/MV5BYjlmNGE3MDQtNzRkMS00MDg5LThlNmEtNjM3ZmQ0NGJlYTYwXkEyXkFqcGdeQXVyNzU1NzE3NTg._V1_QL75_UX500_CR047500281_.jpg
6.88,"['歴史', 'ミステリー']",アガサ・クリスティーの名探偵ポワロとマープル,"Young Mabel West is the daughter of mystery writer Raymond West, who wants her to lead a normal life. Rebelling against this, Mabel wants to be a great detective, and sets out for London to become assistant to none other than Hercule Poirot, the great Belgian detective who resides there. She finally wins the reluctant approval of her father, and embarks on an exciting life of mystery and suspense—his only demand being that she occasionally spend some time with her great-aunt, Jane Marple, in the small village of St. Mary Mead.",https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG2E-Sg2-7FDTZANwvnBP0L8fCu8JH5BxSVL3lAhv-slsceo58xER37Ejs_K4QBrYKDl1MA6xeaQmhbxc8f9x3BIggfheT3VZvQQXUlSp7XonFW8qCg9JccEDAkW7qgTayoAgOERmond4rce8jpRphSmrlg_CZut-1eRwx49pFTf5YZkrl3z5mN3mqn1b44PIN6P0zbMg4TGgC5pHSB1Qt9w0BQKS0Skznr38kUifIlFBsTvQHudiK3to-Ui8iZY96Q==/51PTRQNRZTL._AC_SY445_.jpg
